artist,title,description,curator,bandcamp link,soundcloud private share link
Marilyn Lerner / Ken Filiano / Lou Grassi,Live at Edgefest,"""Rising On An Infrared Wave"" opens proceedings in accomplished style, co-opting silence as another member of the ensemble, to be interspersed between pellucid piano ripples, slashing arco and tinkling cymbals. Eventually the colloquy congeals first into a stop start unison, then a concerted surge. Textural interchange occupies a prominent role, especially on ""Open Cluster"" in the dialogue between Filiano's abrasive sawing and Lerner's rubbing and scraping under the bonnet, which calls to mind Agusti Fernandez' celebrated expeditions inside the piano. On ""Event Horizon"" Grassi's intro leads to swirling trio interaction, Filiano's sweet nimble fingering latterly to the fore. Once he settles into a repeated vamp, Lerner initiates an incantatory spell, fuelled by rolling drums, in what proves the highlight of this fine date."" - John Sharpe, All About Jazz",No Business,http://www.nobusinessrecords.com/edgefest-lp.html,https://soundcloud.com/user-861231864/sets/marilyn-lerner-ken-filiano-lou-grassi-live-at-edgefest/s-RbgyOIwSEvR
Peter Evans / John Butcher / Clayton Thomas / Paul Lovens / Frederic Blondy,A Wing Dissolved in Light,"""Then you put on A Wing Dissolved In Light, their first album, which was recorded at the 2013 Tampere Jazz Happening, and you’re surprised: The piece starts with first-class old-school free jazz. John Butcher shines with controlled overtones, bird chirps and alienated sounds, Peter Evans gets lost in a whirlwind of eccentric tones and circular breathing on his piccolo trumpet, Lovens propels the two providing a consequent cymbal pulse, Frédéric Blondy supports Lovens with isolated Taylor chords, while Clayton Thomas’ hectic bowed bass adds fuel to the fire. But above all, A Wing Dissolved In Light is a constant twist and turn, the music is permanently moving in different directions as to sound and dynamics. It slows down and explodes, especially in the quieter parts the musicians delve into sound explorations, their different approaches blend into one great collective effort. Indeed, there are wonderful moments, for example the duo passage of Evans and Thomas, who are joined by the others at an incredible speed, the almost classic piano trio part, and Evans’ and Butcher’s squeaking and gargling dialogue which prepares the ground for a tender and melancholic break. Here and there the music is reminiscent of an extended version of the Schlippenbach Trio because of Paul Lovens’ subtle control of things and John Butcher’s saxophone, which is sometimes close to Evan Parker’s style. A Wing Dissolved In Light is a very delightful and fascinating album for fans of both European improvised music of the 1970s and those who are interested in disregarding the apparent limitations of the instruments used in this band. It’s been one of my favorites in 2017 so far."" - Martin Schray, Free Jazz Blog",No Business,http://www.nobusinessrecords.com/anemone-a-wing-dissolved-in-light.html,https://soundcloud.com/user-861231864/sets/evans-butcher-thomas-lovens-blondy-a-wing-dissolved-in-light/s-Uklduh9q7vt
Jeremiah Cymerman / Charlie Looker,A Horizon Made Of Canvas,"""A Horizon Made of Canvas is a bleak marvel, a journey through the creeping sensation that something new and unexplainable is around the corner. Sharing its name with the first chapter of a book by neo-reactionary writer Mencius Moldbug, the album presents sounds like a fog: dense yet sparse, seemingly unmovable and yet always in motion, a contradictory mass whose insides are empty. I felt nervous while listening to it, a strange bodily alert that was telling me I was somehow about to fall; A Horizon draws full attention through its slight, quiet tone and subtle instrumental dialogues, like a dread mystery unfolding, making it easy to lose oneself amidst the volumes spoken by its silences. It made me want to know where it was taking me, the clarinet’s voice a jeweled allure leading only deeper inside the fog, every step a nudge in paranoiac impulses – in the end, the place where it was taking me was simply nowhere."" - A Closer Listen",Astral Spirits,https://horizonmadeofcanvas.bandcamp.com/album/a-horizon-made-of-canvas,https://soundcloud.com/user-861231864/sets/jeremiah-cymerman-charlie-looker-a-horizon-made-of-canvas/s-ma4JFlvAkcC
"Charles Rumback w/ Jim Baker, James Singleton & Greg Ward",Cadillac Turns,"""If you’d have asked Charles Rumback a couple of years ago what his next album would be like, he might have responded that it would be a lot like his last two. That is, the drummer leading his working trio with Jim Baker on piano and Greg Ward on sax, running through a set of fresh new Rumback compositions. But fate had other plans. At the urging of couple of musician friends, bassist James Singleton was added to the trio at the last minute for a planned performance at the 2017 Instigation Festival and family life precluded the intended introduction of new Rumback tunes; the newly expanded band was left recycling some of his old ones. Those live performances are preserved for the new Charles Rumback album that actually happened, Cadillac Turns. But first, a word about this late addition. James Singleton is the Ray Brown of New Orleans, the bassist who can be found on more meaningful sessions on recordings from NOLA – or heavily connected to it — than anyone else. His list of credits stretch from Irma Thomas and James Booker to Anders Osbourne and Rickie Lee Jones, and he’s a key member of New Orleans’ premier modern jazz combo, Astral Project. Of late, he’s appeared in the progressive jazz supergroup Nolatet."" S. Victor Aaron, Something Else!",Astral Spirits,https://cadillacturns.bandcamp.com/album/cadillac-turns,https://soundcloud.com/user-861231864/sets/charles-rumback-w-jim-baker-james-singleton-greg-ward-cadillac-turns/s-quWX7oogHFE
Charles Rumback w/ Jim Baker & John Tate,June Holiday,"""June Holiday is the group’s least aggressive, but the leader frequently builds in an exquisite sense of tension, pitting surface placidity against rumbling anxiety. All three musicians contribute tunes here, and most of them convey a distinct ballad-like feel. The tunefulness comes in spare, single-note tangles: Overtones hang in the air only to be juddered by spasmodic clusters of cymbals and toms, summoning something far more meaningful than an unabashed love song or a freak-out. Baker has been a key fixture on the Chicago scene for decades and June Holiday arguably could stand as his most impressive performance on a recording. His opening “Foglights” is suitably hazy, with Rumback’s sensitive, shuffling brushwork underlining a Herbie Nichols vibe, while the darting, broken-glass figures the pianist brings to “Huh?” evoke the sound of early Cecil Taylor—an off-kilter but unapologetic sense of swing pushing even the most abstract phrases forward."" - Peter Margasak, Downbeat",Astral Spirits,https://cadillacturns.bandcamp.com/album/june-holiday,https://soundcloud.com/user-861231864/sets/charles-rumback-w-jim-baker-john-tate-june-holiday/s-kzkgajTzRlI
Roscoe Mitchell & Mike Reed,the Ritual and the Dance,"""The album was recorded in October of 2015 as part of the Oorstof concert series in Antwerp. The piece starts with Reed weaving sparse bits of percussion around Mitchell's irregular, probing sopranino squawk. These minor sounds quickly accumulate in frequency and velocity as the musicians lock into their heady and physical interplay. Reed is a spectacular drummer, a true lion of the skins he colors his crisp, flowing percussion with subtle and sometimes unexpected sounds. Here he puts on a clinic; the speed, power, and sharpness of his technique serve to soften his pummeling attack, but it is a pummeling nevertheless. Mitchell meets him right in the midst of his tempest, a swirling mass of razorwire sound piercing the din. Reed puts down his sticks and adds some light electronics as Mitchell continues working through his concept, then returns subtly and takes over as Mitchell inhales his first deep breath in a quarter hour. The rhythm relaxes and Reed stretches out, working over his toms and punctuating the maelstrom with violent cymbal work. His pace slows and there is a brief period where the duo employ a slightly more delicate measure. Mitchell, now on alto, plays long, wailing figures against the abstract rhythms of Reed. Mitchell's playing quickens as Reed briefly recoils before going in for the finish. Now on soprano, Mitchell peels off knotty, twisted passages within the barrage. The intensity wanes for a final time and Mitchell softly plays bells against Reed's thumping backbeat and the appreciative whoops of the crowd."" - Nick Metzger, Free Jazz Blog",Astral Spirits,https://astralmitchellreed.bandcamp.com/album/the-ritual-and-the-dance,https://soundcloud.com/user-861231864/sets/roscoe-mitchell-mike-reed-the-ritual-and-the-dance/s-cP7r2MtpdHM
Thollem & Tatsuya Nakatani,Thollem's Astral Traveling Sessions Vol. 4,"""Tatsuya and I have met many times in various countries on our respective tours. He's one of the few people I know who travels as much as I do. We both make it work through a variety of solo concerts, long-term projects, free improvisation and teaching. This recording was made in his studio in Truth Or Consequences, New Mexico, a small town in the central part of the state known for its hot baths (as well as its name). I'm playing a Waldorf Blofeld and he is playing his incredible assortment of gongs, bells and percussion.""",Astral Spirits,https://thollemsastraltravelingsessions.bandcamp.com/album/thollem-tatsuya-nakatani,https://soundcloud.com/user-861231864/sets/thollem-tatsuya-nakatani-thollems-astral-traveling-sessions-vol-4/s-wu5o9nIcEXo
Signe Emmeluth,Hi Hello I’m Signe,"""Danish saxophonist Signe Emmeluth, who now lives in Oslo after studying in Trondheim, Norway, has made a strong impact on the European free music scene in the last couple of years, not only due to her ferocious sound, but also through a stylistic openness. Her rugged band Amoeba fulfils her compositional interests, while her duo with guitarist Karl Bjorå, Owl, which released a stunning 2020 debut called Mille Feuille, is more spare and contemplative. This solo outing — a single piece recorded live for Ingebrit Håker Flaten’s Sonic Transmissions Festival — contains its fair share of fire-breathing, with tart boppish phrases ricocheting toward the horizon in upper register sallies, but it opens and closes with finely etched restraint, as sibilant, snaking lines build and recede from and into nothingness. A beguiling, multipartite arc of sound."" -Peter Margasak The Quietus",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/hi-hello-i-m-signe,https://soundcloud.com/user-861231864/signe-emmeluth-hi-hello-im-signe-01-action-painting-en-vogue/s-XPNndO35z1o
gabby fluke-mogul,threshold,"gabby fluke-mogul is an improviser/composer living in New York. They exist within the threads of improvisation, the jazz continuum, noise, & experimental music. Their playing has been described as “embodied, visceral, & virtuosic.”",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/threshold,https://soundcloud.com/user-861231864/sets/gabby-fluke-mogul-threshold/s-mRrnt3irDp6
MoE with Mette Rasmussen and Ikuro Takahashi,Painted,"Norwegian experimental rock band MoE and alto sax virtuoso Mette Rasmussen have since their first musical meeting in 2018 already toured Norway, Mexico and Japan together. Their 2019 album «Tolerancia Picante» sent them on a long and intense Japan tour where they collaborated and played with several important figures from the Japanese improv scene. In Sapporo they teamed up with legendary drummer Ikuru Takahashi. MoE and Mette Rasmussen continue to explore the boundaries between improvisation, composition and other conceptual crossover genres.",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/painted,https://soundcloud.com/user-861231864/sets/moe-with-mette-rasmussen-and-ikuro-takahashi-painted/s-xOdspfc038s
Susan Alcorn Quintet,Pedernal,"""“Pedernal” opens with Alcorn’s gracefully slithery pedal steel line suggesting a dark, minor blues that’s joined in an undulating caress by Formanek’s lithe bass. Descending chords introduce the second section as the band steps into the gathering maelstrom, eventually resolving into a beatifically lyrical theme that seems to summon the abiding power of the iconic vista.""",Relative Pitch,https://relativepitchrecords.bandcamp.com/album/pedernal,https://soundcloud.com/user-861231864/sets/susan-alcorn-quintet-pedernal/s-JlWtgOIaMTC
Catherine Sikora,Jersey,Saxophonist Catherine Sikora makes a bold and singular statement with her solo album Jersey. Each of the 13 tracks is both a fully realized and poignant stand-alone monologue as well as an essential link in an intimate and deeply personal artistic expression.,Relative Pitch,https://relativepitchrecords.bandcamp.com/album/jersey,https://soundcloud.com/user-861231864/sets/catherine-sikora-jersey/s-3LrEji4zCu2
Hali Palombo,Cylinder Loops,"""Hali Palombo’s Cylinder Loops is the first release of 2021 on Astral Editions and upon first glance it may look like a minor one: 12 loops clocking in at 18 minutes. Yet, I’ve been sitting with the loops for a month now and it might be the next keystone release for defining the label’s sound.  Palombo’s 2019 and 2020 works have been tinkering with shortwave radio ghosts and fragments; Cherry Ripe practically summons dispatches from the bomb shelters of the atomic era. Sometimes mournful or monolithic, yet with an undercurrent of warmth and bittersweetness to this era. On Cylinder Loops, Palombo takes a dozen fragments (courtesy of UCSB’s Cylinder Archive), highlighting the ghosts in those auditory fragments. Palombo’s loops will be quite familiar should you have a sweet tooth for Lelyand Kirby and Ghost Box (there lies a hauntology tag at the bottom of its bandcamp page). The cylinder loops have a wicked sense of space they conjure up. Demented carnivals (Loop 8), funeral liturgy (Loop 4), or flickering nitrate print (Loop 3) all provide images of a pre-WWI society on the fringe of a modernity it will soon be crushed under. Palombo then bends that sense of temporality; often pushing the sounds of these loops towards dispatches from futures akin to the dream worlds of Tim Hecker’s Harmony in Ultraviolet (Loop 6/9). The entire affair is precise, not a moment wasted. As a result, it lends itself both to trips across the midwest as much as a rainy morning lost in a foggy haze. You’ll best want to pick this one up before it fades away."" - Matty McPherson, Tabs Out",Astral Editions,https://aecylinderloops.bandcamp.com/album/cylinder-loops,https://soundcloud.com/user-861231864/sets/hali-palombo-cylinder-loops/s-yOYu1wH7xR5
Ka Baird & Muyassar Kurdi ,Voice Games,"""Primarily voice improvisations from the duo of Muyassar Kurdi and Ka Baird, also performing on piano, bells, gong, flute and spike fiddle, recorded at Pineapple Reality and Pioneer Works in Brooklyn, NY between 2017 & 2018, their work focused on typically delicate interweaving of their voices and instruments, with a sense of suspense, humor and joyful mystery."" ",Astral Editions,https://bairdkurdiduo.bandcamp.com/album/voice-games,https://soundcloud.com/user-861231864/sets/ka-baird-muyassar-kurdi-voice-games/s-AyAQWeR397Q
Montgomery & Turner,Sounds Passing Through Circumstances,"""‘Drifting’ is the word I keep coming back to as I sail through Jayve Montgomery and Nick Turner’s Sounds Passing Through Circumstances. Duets for mellotron and flute and saxophone (with effects) that are weightless under starlit night skies as you watch your frozen breath float into the crisp, cold air. Montgomery and Turner are in tune with the harmony of the spheres. Each side-long piece gets deep into meditative hinterlands where thoughts turn inward. Emerald mists from Turner’s mellotron shroud Montgomery’s distant star gazing, his effects-laden flute growing into a web of light. Repetition wields a soft sword on “Circumstance 01,” with flickering, faint percussive elements providing the guideposts as the duo intertwines layers of cosmic, reverb-soaked sound. Montgomery takes off into the cosmos on “Circumstance 02,” piercing through the synthetic aural haze with passages of moving, reflective notes. Sequences of time fall into eternity as you lose yourself to the enveloping sonic stream of consciousness. Sounds Passing Through Circumstances is music for inner reflection. Close your eyes, open your heart and mind and new worlds will materialize. Sacred spaces are endless if you ride on these hypnotic, ethereal waves."" - Brad Rose, Foxy Digitalis
Jayve Montgomery & Nick Turner",Astral Editions,https://montgomeryandturner.bandcamp.com/album/sounds-passing-through-circumstances,https://soundcloud.com/user-861231864/sets/montgomery-turner-sounds-passing-through-circumstances/s-aL5jJvfRtmL
Ombra di Organo,s/t,"Manuel Troller, Keefe Jackson, Ryan Packard",Astral Editions,https://ombradiorgano.bandcamp.com/album/ombra-di-organo,https://soundcloud.com/user-861231864/sets/ombra-di-organo-ombra-di-organo/s-YN9DFwG1BJH
Anáhuac,Y_y,"""This trio, composed of Juan García (double bass), Ignaz Schick (turntable, sampler, electronics) and Chris Cogburn (electronic, percussion), has been using non-idiomatic improvisation since 2016 to propose a new way in which the audience can approach the concept of sound as an art form. That this album bears the word “ascua” (ember) as its title is quite appropriate, since both of its tracks seem to grow as more elements are thrown into them, just as if it were a sonic wood fire; there’s a hissing, static effect that persists throughout the album -like that of a dusty vinyl record- that effectively emulates the sound of something being slowly consumed by a small fire (as we can appreciate on “scoria”) or it might as well represent a liquid reaching its boiling point, as illustrated on “sudar” climax. This time, however, Anáhuac has found a way to use less elements, and the results are far more great, as every nuance and texture is more noticeable; this helps create a deeper sense of immersion. Each member’s contributions are minimal, but vital. This is not a demonstration of virtuosity or manual dexterity, nor it is a relentless attack on the senses: the purpose is not to trace complex melodic or harmonic contours, nor the careful and methodical confection of typical rhythmic patterns, but a fusion in favor of texture and the exploration of the timbral possibilities each element involved has to offer, while maintaining a sense of balance and direction."" - Densidad25
Ignaz Schick, Chris Cogburn, Juan Garcia",Astral Editions,https://astralanahuac.bandcamp.com/album/y-y,https://soundcloud.com/user-861231864/sets/anahuac-y_y/s-ErWlEfVVcJh
